image_name,count,img_size
tenninyan/csimulator:1.1,6811,3541610793
tenninyan/csimulator:1.0,6804,3559583585
tylerbiggs/chemmd:34,6227,1295285326
tylerbiggs/chemmd:35,6227,1295681733
tylerbiggs/chemmd:36,6227,1295688157
tylerbiggs/chemmd:33,6226,1295243143
tylerbiggs/chemmd:latest,6100,1326985660
chemistrymarketing/static-deployment:v1.0,6061,1257108517
chemistrymouse/jupyter-scipy:cc2020,5106,3802475173
vemonet/openmolcas:latest,5075,2341220664
nmiculinic/mincall:9947283,4655,3448932805
nmiculinic/mincall:m270,4655,3449084455
nmiculinic/mincall:m270_alba,4655,3449122243
th0mmeke/toyworld:pymunk_5_changes,4003,655730745
th0mmeke/toyworld:latest,3901,659677391
tczorro/chemtools:0.9.0_jupyter,3767,1513158097
tczorro/horton:2.1.0b1_jupyter,3767,1484570547
tczorro/chemtools:0.9.0,3737,1430575978
tczorro/horton:2.1.0b1,3737,1401988465
tczorro/horton:pre_dev,3737,1023007092
beangoben/useful_chem:latest,3716,
beangoben/q_solar:latest,3594,
nmiculinic/mincall:latest-py3,3423,1778852627
nmiculinic/mincall:latest-py3-gpu,3419,3920018174
cauldnz/psi4:cpu,3354,2116687215
drmeister/cando:latest,3281,13606318247
mvaliev/nwchem:all,3002,2349824895
mvaliev/nwchem:latest,3002,2154592420
mvaliev/nwchem:smallqm,2991,2161301509
chemistrymarketing/api-deployment:latest,2914,603995786
chemistrymarketing/api-deployment:v1.0,2914,603995786
parallelworks/pflotran:20190605,2612,2023252396
nielsbohr/chemistry-notebook:e81235a55e11,2381,4409795391
chemistrygroup/hrval-action:3.1.1,2247,949621588
aruethe2/mesmer:v1,2082,520124841
nielsbohr/chemistry-notebook:eede353919e2,2075,4495535221
redscorpse/chem:arm64,2063,6951052684
scmnv/qmflowsdocker:latest,1983,3061655549
chemistryhuang/typecho:latest,1959,418146192
nielsbohr/chemistry-notebook:11e0a86fc2a826935b1ad849c244fc4629c99db6,1860,4874582085
redscorpse/chem:amd64,1782,6981928153
ucphhpc/chemistry-notebook:7e92d0ad,1692,5870056603
edoapra/nwchem-dev.dftquick:latest,1645,1669260526
iancze/maps:latest,1636,998233409
ucphhpc/chemistry-notebook:3f938a81,1602,5467918473
chemistryhuang/go-jupyter:latest,1595,1010718316
nielsbohr/chemistry-notebook:81934fb0,1575,4660784045
nielsbohr/chemistry-notebook:latest,1575,4660784045
raphaelrobidas/calcus2:latest,1562,3520377208
chemistrymarketing/phalcon-chem:latest,1547,334431247
ce1ebi/ds4ls-chem:v1,1369,1924422841
ce1ebi/ds4ls-chem:latest,1353,1082984748
verysure/django-rdkit:180404,1248,2971329864
parallelworks/pflotran:v4.0,1133,2919152382
ipbhalle/ccdbc:latest,1067,1037161715
tridentbio/chemistry_dl:0.1,1062,8545950765
ericwangyz/chem:v0.1,1034,5616306928
molssi/qcfractal:latest,1034,2646815754
molssi/qcfractal:v0.12.3,1034,2623345915
molssi/qcfractal:v0.13.0,1034,2628786025
molssi/qcfractal:v0.13.1,1034,2646815754
dbwy/chemistry:latest,1001,6843011681
molssi/qcfractal:v0.12.2,889,1391050729
greymouth/antimatter:main,753,721175396
dbwy/chemistry-gpu:latest,750,8943342210
dbwy/chemistry-amdgpu:rocm-5.6,707,10156360489
dbwy/chemistry-nvgpu:cuda-11.7.0,688,8934967638
ucphhpc/chemistry-notebook:latest-501uid,664,5523598860
mtzgroup/bigchem-worker:0.6.3-terachem,653,13255815996
mtzgroup/bigchem-worker:0.6.4-terachem,649,13269585146
mtzgroup/bigchem-worker:latest-terachem,649,13269585146
kimjoochan/ash:0.9,647,18256305032
dbwy/chemistry:dev,589,7003578130
dbwy/chemistry-sycl:oneapi-2023.2.1,526,21746179640
ucamcldtg/chemistry-checker:latest,467,537168720
gqcg/gqcp:latest,415,8294551116
ucphhpc/chemistry-notebook:latest,406,5510768795
mtzgroup/bigchem-worker:0.6.4,400,3374941937
mtzgroup/bigchem-worker:latest,400,3374941937
kingalistair/chemistry:ubuntu-xtb-crest,395,375982201
ucphhpc/chemistry-notebook:dev,395,5492966749
iraitz/psi4conda:latest,357,3799193445
flintscrew/chemistry:1.0,333,11466051891
flintscrew/chemistry:1.1,333,11466051891
flintscrew/chemistry:1.2,333,11644393219
flintscrew/chemistry:1.5,333,11644393219
flintscrew/chemistry:2.0,333,11307677978
rameshr/chemistry-opencmis-server-inmemory:0.10.0,320,208428443
rameshr/chemistry-opencmis-server-inmemory:0.11.0,320,208428443
rameshr/chemistry-opencmis-server-inmemory:0.12.0,320,208428443
rameshr/chemistry-opencmis-server-inmemory:0.13.0,320,208428443
rameshr/chemistry-opencmis-server-inmemory:1.1.0,320,208428443
piyushmishradocker/bio.informatica:latest,319,2297425524
spectrocat/spectrochempy:release-0.2.15,319,1912008623
fernandezc/spectrocat:latest,316,1758284385
spectrocat/spectrochempy:latest,316,1811843745
edoapra/nwchem-dev:amd64,302,678319895
edoapra/nwchem-dev:arm64,302,554956092
edoapra/nwchem-dev:latest,302,678319895
nateschnitzer/cccbdb:latest,284,28984984544
chemistryhuang/ubuntu-customized:latest,260,64191944
autamus/psi4:1.3.2,243,768074872
autamus/psi4:latest,243,768074872
chemistrygroup/billrun:0.0.1-SNAPSHOT,201,279508879
chemistrygroup/billrun:0.0.2-SNAPSHOT,201,279508879
chemistrygroup/billsetuptask:0.0.1-SNAPSHOT,183,276713531
chemistrygroup/billsetuptask:0.0.2-SNAPSHOT,183,276713531
dantrigne/moleqcage:latest,168,1156839213
tungpytn2000/chemistry_be:0.5,165,429368307
tungpytn2000/chemistry_be:0.6,165,429368327
tungpytn2000/chemistry_be:0.7,165,429368323
tungpytn2000/chemistry_be:0.8,165,429368338
dantrigne/moleqcage:parallel,148,1185883758
uwligroup/chronusq:0.5.0,135,1442876295
uwligroup/chronusq:0.6.0,135,829041753
uwligroup/chronusq:latest,135,829041753
tungpytn2000/chemistry_fe:0.5,134,32198567
tungpytn2000/chemistry_fe:0.7,134,32238931
tungpytn2000/chemistry_fe:0.8,134,32193395
tungpytn2000/chemistry_fe:0.9,134,32193402
tungpytn2000/chemistry_fe:1.0,134,32193411
tungpytn2000/chemistry_be:0.9,122,429368551
chemistrygroup/postgres:12-alpine,118,151513178
psi4/psi4:1.8,96,2073153847
psi4/psi4:1.8.2,96,2073153847
psi4/psi4:1.9.0,86,2073661760
jherasdo/pythonic-chemistry:latest,77,2371350919
alchem0x2a/mlchem:cuda,76,12259493118
alchem0x2a/mlchem:cuda-2023-12-24,76,12259493118
alchem0x2a/mlchem:latest,76,12259493118
psi4/psi4:1.9,76,2100155494
psi4/psi4:latest,76,2100155494
alchem0x2a/mlchem:nvhpc,75,19242901575
alchem0x2a/mlchem:nvhpc-2023-12-24,75,19242901575
