image_name,count,img_size
kwierman/hep-dl:latest,9812,4095487978
kwierman/hep-dl:v3,9812,7318574158
mtrnord/knettercalculator:latest,9530,984053711
physicso/qgo:latest,8738,3943205979
scarrazza/ubuntuhep:latest,7751,6242284645
benjum/picksc-jupyterpic:5e8fdd7,7101,4446922532
benjum/picksc-jupyterpic:latest,7101,4460433733
ritsse/physics:1.0,6675,668661538
ritsse/physics:1.1,6675,668661538
ritsse/physics:1.2.0,6675,668663270
ritsse/physics:latest,6675,668661538
gkousiou/physicspef_v3:latest,6025,1276090075
jasonbarrella/cp-libs:sympy,5993,1251086281
jasonbarrella/cp-libs:initial,5992,1184558197
physicsriot/simplewhale:latest,5988,1041748249
arm32v7/gazebo:latest,5776,1250982591
arm32v7/gazebo:libgazebo9,5775,1251038147
arm32v7/gazebo:libgazebo9-bionic,5775,1251038147
sliem/docker-hep:checkmate,5665,2717700964
matthewearl/q1physrl:q1physrl,5636,3133942406
lobotuerk/physics-image:latest,5568,7306829574
sliem/docker-hep:root6,5550,1867027980
smacaluso/treenin:1.0.0,5459,2863169451
arm64v8/gazebo:latest,5072,1474038362
arm64v8/gazebo:libgazebo10,5072,1474038362
arm64v8/gazebo:libgazebo10-bionic,5072,1474038362
justinhmills/cs360_project:web_container_ver_2.0,4980,727296809
mikebentley15/dart:6.9,4947,1839191033
mikebentley15/dart:latest,4947,1839191033
physicso/tf_serving_gpu:1.3.0,4922,5272589463
starp/hepynet:v0.4.0,4611,3540945970
physicso/tf_serving_cpu:1.3.0,4550,1200048493
geodynamics/virtualquake:3.1.0,4331,1023639385
dtcenter/ccpp-scm:v4.0.0,4278,3750227931
picksc/jupyterpic:011720,4208,4003792929
geodynamics/virtualquake:3.1.1,4163,1028098382
geodynamics/virtualquake:latest,4163,1028098382
picksc/jupyterpic:031820,4061,3835944236
arm32v7/gazebo:libgazebo9-stretch,4030,1384494224
scarrazza/ubuntuhep:xenial,4026,1833809128
garo/tb2j:latest,4003,1183185320
picksc/jupyterpic:030522,3943,3836152440
picksc/jupyterpic:latest,3943,3836152440
dtcenter/ccpp-scm:v5.0.0,3916,5635590101
dtcenter/ccpp-scm:v5.0.0-tutorial,3916,5636416620
dtcenter/ccpp-scm:v6.0.0,3916,4653245825
dtcenter/ccpp-scm:v6.0.0-beta,3916,4652759053
picksc/jupyterpic:071723,3814,3834878196
mayabasu/plf_images:path2test,3760,4001648231
mayabasu/plf_images:path3test,3760,4056901904
mayabasu/plf_images:test,3760,4001648213
mayabasu/plf_images:path3,3754,1745196257
mayabasu/plf_images:test2,3714,4001648213
kingmking/qcd:firsttry,3611,5571555739
benislocated/proofofconcept:latest,3505,1773253555
mdpetters/atmospheric-physics-notebooks:current,3469,7218802673
mdpetters/atmospheric-physics-notebooks:v2008,3467,7218802673
physicso/ponte:1.0,3405,541987994
physicso/ponte:1.1,3405,541996765
jmduarte/capstone-particle-physics-domain:latest,3356,17779694586
physicsillinois/phys-214:fall-2020,3304,2530184222
physicsillinois/phys-214:latest,3304,2530184222
physicsillinois/phys-2xx:fall-2020,3301,2522759210
atlas/analysistop:21.2.98,2985,2824115321
atlas/analysistop:21.2.98-20191115,2985,2824115321
atlas/analysistop:21.2.99,2985,2824152763
atlas/analysistop:21.2.99-20191116,2985,2824152763
atlas/analysistop:latest,2985,2824152763
siconos/gazebo:latest,2975,2397559809
physicso/allocator:1.0,2947,342689407
fmeurou/djangophysics:latest,2880,1452499593
natha100/physics:latest,2760,927239100
justinhmills/cs360_project:db_container_ver_2.0,2519,491536916
madminertool/madminer-workflow-ph:0.5.2,2506,4642322875
madminertool/madminer-workflow-ph:0.5.1,2505,4421847257
madminertool/madminer-workflow-ph:0.5.3debug,2501,4657268128
madminertool/madminer-workflow-ph:0.5.4beta2,2499,4404227479
jeffmm/simcore:experimental,2457,786066827
jeffmm/simcore:latest,2457,783982778
jeffmm/simcore:nematic_ic,2457,785962178
digitalpoints/physics:latest,2305,1424926656
digitalpoints/physics:production-33,2305,1348291746
digitalpoints/physics:production-34,2305,1348291746
digitalpoints/physics:production-35,2305,1348291746
digitalpoints/physics:production-36,2305,1348291746
physicso/quantum:latest,2272,547059035
marcodelmastro/esipap-epp-tutorials:latest,2240,2203805505
xaratustrah/iqtools:latest,2228,1731842432
ymodify/deepl2:testing,2205,1088587805
fnallpc/fnallpc-docker:tensorflow-2.6.0-gpu-singularity,2197,8624182325
ymodify/deepl2:latest,2195,1234233873
physicso/web:latest,2193,524792458
physicsnus/docker-whale:latest,2191,274181938
physicsunplugged/docker-whale:latest,2191,274963030
arm64v8/gazebo:gzserver10,2146,661115878
arm64v8/gazebo:gzserver10-bionic,2146,661115878
ckuruppu/hep_toolset:v1.1,2143,5974887781
ckuruppu/hep_toolset:v1.2,2143,5974906766
ckuruppu/hep_toolset:v1.3,2143,5974911934
ckuruppu/hep_toolset:v1.4,2143,2696924772
saoue66/egs_brachy:0,2121,2336577289
justinhmills/cs360_project:web_container_ver_1.0,2082,259823093
ckuruppu/hep_toolset:v1.0,2059,5824992348
chless/physics:1.0,1993,7431962816
aggipp/physwikiquiz:latest,1917,1440863711
physicsillinois/phys-398-mla:spring-2022,1872,5949396179
twu3/physics_atv:latest,1870,8905992166
fastml/gw-iaas-export:latest,1856,14384417460
arm32v7/gazebo:gzserver9-stretch,1837,651389593
jhewes/neutrinoml:pytorch1.9.0-cuda10.2-devel,1804,10249176085
physicsillinois/phys-2xx:latest,1797,2342686337
physicsillinois/phys-2xx:spring-2022,1797,2342686337
peterjansson/appnuc:0.7.0,1733,7657749495
cutlang/cutlang:2.13.09,1722,2215807294
cutlang/cutlang:2.13.10,1715,2177063060
cutlang/cutlang:2.14.0,1715,2177083981
cutlang/cutlang:2.14.1,1682,2159229423
cutlang/cutlang:latest,1682,2159229423
jhewes/neutrinoml:pytorch1.10.0-cuda11.3-devel,1640,14269993006
matthewjsiv123/physics_atv:latest,1600,16417704691
solidification/physicsworks-openfoam7:nightly,1574,2909551162
mzksdev/physbasics:v0.1,1541,6943746239
physicsillinois/phys-398-mla:latest,1512,5950086419
justinhmills/cs360_project:db_container_ver_1.0,1469,213525168
lordcristo/hep-machine:root6,1457,6277765393
jaesungchoe/physicssdf:cuda10.2,1436,9015402063
lordcristo/hep-machine:basic,1344,6277927064
stroche/particle-physics-simulation:latest,1334,4279140360
lordcristo/hep-machine:addcerncc7,1327,310651983
adamd94/gem-dependencies:intel-v1.0.0,1310,9925434664
bsantamaria/epics-base:centos8,1295,2448724048
duartej/m1992-pyroot:latest,1290,2337808301
jaesungchoe/physicssdf:cuda11.3,1233,17547932171
mrcharms/physics-test:latest,1231,1401460245
