image_name,count,img_size
12150w/hpca-benchmarks:build-gcc-4,7336,1362325011
roscoche/hpcc_builder:latest,5711,1948762319
hpcomman/builder-jx:2.0.933-279,4158,2349333364
qwertyjack/hpc:of6-c7_build,4096,5051702583
hpccsystems/platform-build-base:7.10,3988,1929034317
higherordermethods/cmg-base:gcc-10.2.0-serial-x86,3965,1531003087
higherordermethods/cmg-base:gcc-10.2.0-serial-x86_hdf5,3965,1630140650
hpc2se/pacxx-perftools-base:git,3840,2550581806
hpc2se/pacxx-perftool-base:git,3835,2552755931
hpc2se/perftool-base:git,3835,2341996285
hpccsystems/platform-build-base:7.12,3687,1943074898
unmcarc/docker_base:latest,3496,1512047058
unmcarc/docker_base:fwq,3488,1394732929
unmcarc/docker_base:openspeedshop,3488,1394733771
unmcarc/docker_base:tacc,3452,1430366277
unmcarc/docker_base:tacc-gev,3452,2064071047
meteogroup/hpc_tools_builder:latest,3249,
hpccbuilds/smoketest-platform-build:candidate-8.6.x-4038df29696a735e0687dc765d9f45e910c6b70c,3193,10421579256
hpccbuilds/smoketest-platform-build:candidate-8.6.x-4ed4ad10ec06d086063bbfa94ad6a852d76d79e4,3193,10420296934
hpccbuilds/smoketest-platform-build:candidate-8.6.x-b21677f1f74a83917fec301804e0fb093a1d99f1,3193,10416997374
hpccbuilds/smoketest-platform-build:candidate-8.6.x-latest,3193,10420213528
sjtuhpc/hpc-base-container:intel-2021,3093,7945229163
tingatepai/hpc-base-container:intel-2021,3093,7945229163
hpccsystems/platform-build-base:7.8,3082,1914783309
jakesmith0/hpccbuild-install:v1,3046,2424166415
openkbs/docker-hpc-base:latest,3018,856586565
hpccbuilds/smoketest-platform-build:candidate-8.6.x-92441bb645458e6a2fff7b3d7557ad630d843e6e,2939,
hpccsystems/platform-build-base:7.12.1,2853,2033317078
hpccsystems/platform-build-base:8.6,2846,2054334649
hpccbuilds/smoketest-platform-build-base:7.12.1,2739,2034169509
hpccbuilds/smoketest-platform-build-base:8.6,2732,2055259411
jakesmith0/hpcc-baseimage:v1,2671,
jongtaek/r-base:latest,2586,634617330
evancui/nodemanager:nmbuildbase,2577,974582198
hpccsystems/hpcc-base:7-el7,2517,663961376
tingatepai/hpc-base-container:ompi-4.0,2444,552550013
hpccsystems/platform-gnn3:8.2.8,2398,4097040166
sjtuhpc/hpc-base-container:ompi-3.1,2336,559421188
sjtuhpc/hpc-base-container:ompi-4.1,2336,558892936
tingatepai/hpc-base-container:ompi-3.1,2336,559421188
tingatepai/hpc-base-container:ompi-4.1,2336,558892936
hpccsystems/platform-gnn2:8.2.0-2,2312,4470222950
joshuagad/hpc-base:latest,2300,333506934
tingatepai/hpc-base-container:gcc-8.ompi-4.0,2265,645632445
hpccsystems/platform-gnn2:8.2.8,2256,4505541363
hpccsystems/platform-tfhub:8.2.10,2256,4507794119
hpccsystemslegacy/client-base:8-focal,2252,1139420270
hpccsystemslegacy/client-base:latest,2252,1139420270
chengshenggan/hpc-base-container:cuda-10.2.ompi-4.0,2249,3152824506
chengshenggan/hpc-base-container:cuda-9.1.ompi-4.0,2249,2067524912
chengshenggan/hpc-base-container:cuda-9.2.ompi-4.0,2249,2390280118
sjtuhpc/hpc-base-container:cuda-10.2.ompi-4.0,2249,3257109458
hpccsystemslegacy/platform:8.2.0-1,2237,1378238253
hpccsystemslegacy/platform:8.2.10-1,2237,1378337397
hpccsystemslegacy/platform:8.4.0-2,2231,1418255815
hpccsystemslegacy/platform:8.4.6-1,2231,1418754501
hpccsystemslegacy/platform:latest,2231,1418754501
hpccsystemslegacy/client-base:8-el7,2189,711143535
hpccsystemslegacy/hpcc-base:8-focal,2184,1060810554
hpccsystemslegacy/hpcc-base:latest,2184,1060810554
hpccsystems/platform:7.10.10-1,2178,772973790
hpccsystems/platform:7.10.6-1,2178,773491124
hpccsystems/platform:7.10.8-1,2178,773649471
chengshenggan/hpc-base-container:gcc-7.cuda-10.2.ompi-4.0,2174,3300950958
chengshenggan/hpc-base-container:gcc-8.cuda-10.2.ompi-4.0,2174,3314660222
sjtuhpc/hpc-base-container:gcc-7.cuda-10.2.ompi-4.0,2174,3340755104
hpccsystems/platform:7.10.24-1,2158,779595977
hpccsystems/platform:latest,2158,779595977
hpccsystemslegacy/hpcc-base:8-el7,2154,699183117
xwang2713/hpcc-platform:7.4.4-1bionic,2124,721492591
hpccsystems/hpcc-base:7-bionic,2013,371644954
hpcplatform/admin:latest,2004,1086760546
evancui/nodemanager:nmexecbase,1895,738027533
hpccsystemslegacy/hpcc-base:7-focal,1842,437937222
hpcnow/easybuild:4.6.0,1810,1466310330
atopion/hpcts:base-latest,1788,339994825
rudyy/dockerbsc:bsc_baseLenox,1757,5109620643
hpcnow/easybuild:4.5.5,1745,1489876963
hpcnow/easybuild:4.6.2,1744,1488858449
hpcnow/easybuild:4.7.0,1670,1514573212
hpccsystemslegacy/platform-gnn-gpu:8.8.0-rc8,1563,8500091885
hpcplatform/pbs-server:19.1.2,1556,444227024
hpccsystemslegacy/platform-gnn-gpu:8.8.0-rc8-2,1551,9565921808
hpccbk/hadoop-docker-base:3.2.1,1462,2055507850
hpccbk/hadoop-docker-base:latest,1462,2055507850
dcorey28/hpc-dev-env:fall22,1436,828832742
pawsey/mpi-base:3.1.4,1417,516652324
hpccbk/hadoop-docker-base:2.7.2,1398,1523333223
hpcplatform/agent:latest,1333,644626184
hpcplatform/controller:file-server-only,1333,649505327
hpcplatform/controller:latest,1333,649937486
hpcplatform/nfs-server:latest,1292,263717603
hpcplatform/nfs-server:nfs4,1292,263717788
hpcplatform/ypserv:latest,1282,261843246
ashesfall/iwfm-base:1403-php7.4-apache,1260,
hpccsystems/hpcc-base:7-xenial,1237,399717752
fdeconinck/fv3core-hpc:latest,1234,6115055503
hpccsystems/hpcc-base:6-xenial,1217,395848337
fdeconinck/fv3core-hpc:daint,1214,6168204400
ashesfall/iwfm-base:latest,1180,11590638591
hpcnow/easybuild:4.9.0,1180,1582976076
hpc4geo/multi_arch_sample:buildx-latest,995,4021975402
psaberi/hpcm-base:latest,988,1003827891
fxwei/hpc-base-app:1.0,930,1490141761
fxwei/hpc_service_base:1.0,906,1016496321
hpcplatform/pbs-server:20.0.1,901,395340802
hpcplatform/pbs-server:latest,901,395340802
tings0802/hpc-base:0.4.2,895,859920821
tings0802/hpc-base:0.5,890,859949969
tings0802/hpc-base:0.5.1,890,859950137
hpcdue/couchbase-server:latest,830,564626489
rrrzckrrr/hpc_service_base:v2.0.0,789,822480597
hpcisme/net_core_app:latest,772,722134120
hpcplatform/chrony:latest,745,254702772
hpcplatform/chrony:nict,745,254703967
wesogroup/hpc-base-image:1.0.0,734,963311298
wesogroup/hpc-base-image:latest,734,963311298
hpcdue/couchbase-server:1.5.0,712,506134541
fxwei/hpc-base-jdk-juice:1.0,709,1042083000
hpcdue/base:1.5.0,686,270797702
hpcdue/base:latest,686,270797702
yuanfornl/elm_baseos_nvhpc:23.5,683,26618894528
yuanfornl/elm_baseos_nvhpc:latest,683,26631691801
louirobert/hpcpack-doc-builder:latest,659,580935996
hpcio/pdc-dev-base:1.2,658,2734234839
hpcio/pdc-dev-base:1.2-amd64,658,2734234839
hpcio/pdc-dev-base:latest,658,2734234839
wn1980/hpc-box-cuda10-base:latest,655,14872385892
hpcio/pdc-dev-base:1.2-arm64v8,654,2933945138
dcorey28/hpc-dev-env:fall2023-cuda,653,8553226245
dcorey28/hpc-dev-env:fall2023,558,995281303
louirobert/hpcpack-cli-builder:latest,555,662317293
hpccbuilds/smoketest-platform-build-vcpkg:candidate-9.2.x-f8d4b221bb657d0305ee02142cfec13bf999d0b5,553,13807160383
hpccbuilds/smoketest-platform-build-vcpkg:candidate-9.2.x-fd890cf41dc232a235c1a1fbe6e2bf603cd81a08,553,13846045678
hpccbuilds/smoketest-platform-build-vcpkg:candidate-9.2.x-latest,553,13806286969
garnoldncsa/hpcbase-gnu-openmpi:latest,512,1021633842
crazydishoom/hpc-base:latest,508,824270513
hpccbuilds/smoketest-platform-build-vcpkg:candidate-9.2.x-da3661de965ca183d3ebed551f74cab513520b56,485,
mrmagooey/hpcaas-container-base:0.1.0,467,169054687
mrmagooey/hpcaas-container-base:latest,467,169054687
hpccsystems/platform-gnn-gpu:latest,449,10482165777
ompcluster/hpcbase:latest,411,7740689488
hpcplatform/kopia-server:latest,409,249197276
mrmagooey/hpcaas-container-base:0.1.1,382,183209459
hpccsystems/platform-gnn-gpu:8.12.90-rc1,362,
hpccsystems/platform-gnn-gpu:9.0.80-rc1,362,
hpccsystems/platform-gnn-gpu:9.2.58-rc1,362,
hpccsystems/platform-gnn-gpu:9.4.32-rc1,362,
hpccsystems/platform-build:8.12.90-rc1,360,
hpccsystems/platform-gnn:latest,360,6038684467
hpccsystems/platform-ml:latest,360,3807380603
scorep/devel-nvhpc:latest,358,14166740102
hpccsystems/hpcc-base:7-disco,357,391902029
hpccbuilds/smoketest-platform-build-vcpkg:candidate-9.0.x-latest,342,13959821062
scorep/devel-oneapi:latest,330,7548792615
scorep/devel-oneapi:8.4,298,
scorep/devel-nvhpc:8.4,295,
hpccsystems/platform-gnn:8.12.90-rc1,277,
hpccsystems/platform-gnn:9.0.80-rc1,277,
hpccsystems/platform-gnn:9.2.58-rc1,277,
hpccsystems/platform-gnn:9.4.32-rc1,277,
hpccsystems/platform-ml:8.12.90-rc1,277,
hpccsystems/platform-ml:9.0.80-rc1,277,
hpccsystems/platform-ml:9.2.58-rc1,277,
hpccsystems/platform-ml:9.4.32-rc1,277,
hpccsystems/platform-core:8.12.90-rc1,276,
hpccsystems/platform-core:9.0.80-rc1,276,
hpccsystems/platform-core:9.4.32-rc1,276,
hpccsystems/platform-core:9.4.32-rc1-Debug,276,
hpccsystems/platform-core:master-2024-02-03,276,
hpccsystems/platform-build:9.0.80-rc1,274,
kristianfjones/hpcode-php:core,210,71000536
hpcsc/upload-bintray-docker-action-base:0.1.0,138,8022707
cvrez/hpc-opensuse15.5-base:1.0.0,76,678051798
hpccbuilds/solutions-lab:jx2ecl,69,108110296
rainerfink/hpc-iot-gw-core:0.1.5,24,151792222
hahnpro/hpc-iot-gw-core:0.1.6,20,151037172
rainerfink/hpc-iot-gw-core:0.1.6,20,151037172
rainerfink/hpc-iot-gw-core:0.1.7,20,151160124
rainerfink/hpc-iot-gw-core:latest,20,151160124
marcelhahn/hpc-iot-gw-core:0.1.7,18,144210167
marcelhahn/hpc-iot-gw-core:latest,18,144210167
hahnpro/hpc-iot-gw-core:0.1.7,12,144212333
hahnpro/hpc-iot-gw-core:latest,12,144212333
cvrez/hpc-opensuse15.3-base:1.0.0,4,348582689
