image_name,count,img_size
ahelm/hpc_compiletools_gcc:8,4203,1250480021
ahelm/hpc_compiletools_gcc:9,4203,1262776691
ahelm/hpc_compiletools_gcc:10,4202,1298262652
ahelm/hpc_compiletools_gcc:latest,4202,1298262652
fnalart/hep_hpc_toolkit:v00_09_00-e19-mpich-prof-slf7,4087,2797914898
intrinsick/keras-retinanet-gpu:experiment-env,3578,5144682518
intrinsick/keras-retinanet-gpu:latest,3578,5330337911
intrinsick/keras-retinanet-gpu:tf-1.15.5,3560,7501586197
saisunpower/hpc_servermpi:latest,3543,11102716085
fnalart/hep_hpc_toolkit:v00_10_00-e17-mpich-prof-slf6,3525,2964814555
fnalart/hep_hpc_toolkit:v00_10_00-e19-mpich-prof-slf6,3525,3198935548
hpclib/hiepacs-openmpi:latest,3505,11108317524
a885566885566/tensorflow_nscc:tensorflowNightly-benchmarks-nccl2.1.15-cudnn7.1.3.16-ofed4.2-1.2-openmpiV2.1.3-osu,3485,4487366760
nightofsun/hpc:namdgcc,3320,1822812525
intrinsick/keras-retinanet-gpu:nvidia-tf,3218,15243447696
ahelm/hpc_compiletools_gcc:6,3138,1015459859
a885566885566/tensorflow_nscc:16.04-cuda8.0.44-devel-cudnn7-nccl2-mofed4212-openmpi2,2929,3006512778
chewin9/hpc-mpi:latest,2869,
dcvelobrew/docker-gnu-openmpi-dev-ufs:latest,2658,10888446454
tingatepai/hpc-app-container:openfoam-gpu-dev,2397,4793791056
hpcufscar/llvm11-devito-gpu:v4.2.1,2273,13044716776
sjtuhpc/hpc-app-container:gromacs-gpu-2019,2174,3465583521
sjtuhpc/hpc-app-container:gromacs-gpu-2020,2174,3493985698
chengshenggan/hpc-app-container:gromacs-gpu-2020,2132,3392237381
pawsey/hpc-python:3.7_intel2020.2_cuda10.2_mpich3.1.4_2,2095,3862524356
pawsey/hpc-python:3.7_intel2020.2_hdf5mpi_mpich3.1.4_2,2095,2912214185
pawsey/hpc-python:3.7_intel2020.2_mpich3.1.4_2,2095,2866536407
pawsey/cuda-intel-hpc-python:2021.09,2083,3993463638
pawsey/cuda-intel-hpc-python:2021.09-hdf5mpi,2083,4119852536
pawsey/intel-hpc-python:2021.09-hdf5mpi,2083,3123861983
cbyrohl/hpc_images:gcc_omp_mpi,2044,925487476
naughtont3/hpcc2-mpi:slurm1508,2023,800922204
cbyrohl/hpc-images:gcc_omp_mpi,2014,1029719600
m4rquee/ompcluster-opencl:latest,1914,7740684953
alfpark/linpack:cpu-intel-mkl,1782,1011957224
rudyy/dockerbsc:mpiHelloWorldLenox,1762,4346585497
hpcufscar/llvm14dev:cuda11.4.2,1736,8207989004
gsunilkumar/hpc_gpu_app:gpuqe_modules,1717,5335794520
mpillon/pboca:latest,1707,612625590
mccoygroup/rynlib:rynimg-ompi,1633,3121345113
deepradiology/hpcs.gpuburn:latest,1623,2888872845
nvdevtools/hpc-cuda-8.0:latest,1618,1999234879
nvdevtools/hpc-cuda-9.0:latest,1618,2044799059
zehanliu/mpi_project:latest,1600,724631792
nvdevtools/hpc-cuda-9.1:latest,1590,2036737584
myelintek/hpcg-rocm:1.0,1587,
egallardo5/hpcg:0.1-mpi,1560,532850769
egallardo5/hpcg:3.1.1-mpi,1560,532851633
egallardo5/hpcg:3.1.2-mpi,1560,532851847
hpcaitech/pytorch-cuda:1.13.0-11.6.0,1537,24213074476
naughtont3/hpcc2-mpi:latest,1514,663702168
naughtont3/hpcc2-mpi-mpich:latest,1502,662881534
alfpark/linpack:2018-intel-mkl,1459,3688974684
hpcufscar/llvm-release-13.0-pip3:cuda10.1,1442,8837263164
