image_name,count,img_size
pbranson/pangeo-notebook-hpc:latest,6703,5256789807
aconklin/qtl-clustering:ld,5994,1500885411
aconklin/qtl-clustering:cad_snps,5994,1280175506
aconklin/qtl-clustering:tile,5994,1500887927
aconklin/qtl-clustering:try3,5994,2624964990
aconklin/qtl-clustering:latest,5994,2624964965
pawsey/hpc-jupyter:12apr19,4248,6784029366
pawsey/hpc-jupyter:latest,4248,6784029366
bskjerven/hpc-jupyter:latest,4241,6558279621
apblair/computing-envs:ab-JupyterLab_seurat_v3.2.0_scanpy_v1.4.6,3856,5095825706
apblair/computing-envs:ab-JupyterLab_seurat_v3.2.0_scanpy_v1.5.0,3856,5144584933
marcodelapierre/hpc-jupyter:latest,3813,4207439886
wwqicodegmail/hpc-pytorch2.0.1:v1.0.1,3716,3794460420
wwqicodegmail/hpc-pytorch2.0.1:v1.0.0,3716,3794345528
wwqicodegmail/hpc-pytorch1.13.1:v1.0.1,3712,3706206025
wwqicodegmail/hpc-pytorch1.13.1:v1.0.0,3712,3706091133
wit543/hpcn-deep-learning-training:latest,3036,22098627025
wit543/hpcn-deep-learning-training:lastest,3036,22098627025
hpccbk/hadoop-docker-notebook:3.2.1,2937,3799219810
songanz/hpc:focal_pytorch1.7_detectron0.4.1_tf2.4.1_tfrt_raytune_HPC,2930,13734975679
hpccbk/hadoop-docker-notebook:2.7.2,2848,3267071915
hpccsystems/ml:ct-kmeans,2740,914649079
hpccsystems/ml:pt-kmeans,2260,808141847
hpccbk/hadoop-docker-notebook:latest,2198,10338034892
songanz/hpc:bionic_pytorch1.7_detectron0.5_tf2.4.1_tfrt_raytune_NGC20.09_HPC,2169,
wwqicodegmail/hpc-tensorflow1.15.0:v1.0.0,2157,3065176775
wwqicodegmail/hpc-tensorflow1.15.0:v1.0.1,2157,3065291667
nielsbohr/hpc-ocean-notebook:22e97d7b,2150,11597022712
nielsbohr/hpc-ocean-notebook:55258b0b,2146,11741391285
johnnnysuu/pytorch1.12_artemis:latest,2016,8112119609
hpccsystems/jupyter:itsecl-0.1.1,1990,755571328
nielsbohr/hpc-notebook:55258b0b,1766,7965075027
nielsbohr/hpc-notebook:20.11.9,1766,7846527996
hpcadmin/jupyter-py37:jupyter-py37,1649,11394028439
rengolin/mlir-generator:latest,1623,1542720855
a33a/sjupyter:latest,1618,1033537267
hpcadmin/jupyter:jupyter-py36,1594,11016433015
hpcadmin/jupyter-py36:jupyter-py36,1506,11003370444
ucphhpc/hpc-ocean-notebook:20.11.9,799,17055469365
ucphhpc/hpc-ocean-notebook:latest-501uid,686,17671216205
fxwei/hpc_jupyter_lab:mindspore2.0.1_with_user_without_slurm,558,11512026006
rioyokotalab/hpc_lecture:pytorch,537,7388599836
scleveland/singleuser-jupyterhub-batchspawner:latest,520,700415492
nielsbohr/hpc-ocean-notebook:21.08.8,490,
wwqicodegmail/hpc-tensorflow2.13.0:v1.0.1,458,2362045536
wwqicodegmail/hpc-tensorflow2.13.0:v1.0.0,458,2361930644
ucphhpc/hpc-notebook:20.11.9,457,9117888451
ucphhpc/hpc-notebook:22.05.9,457,9321367039
geo99/mask_dino_image_v9:pytorch201,445,18310483440
nielsbohr/hpc-ocean-notebook:20.11.9,379,
nielsbohr/hpc-ocean-notebook:latest,379,
nielsbohr/hpc-notebook:21.08.8,235,
nielsbohr/hpc-notebook:latest,235,
nielsbohr/hpc-notebook:ee7d99c1,232,
ucphhpc/hpc-ocean-notebook:22.05.9,92,
ucphhpc/hpc-notebook:21.08.8,47,
ucphhpc/hpc-notebook:latest,33,
ucphhpc/hpc-notebook:22.05.11,33,
