image_name,count,img_size
hpcdevops/docker-centos7-rocksbuilder:latest,15173,3339464942
hpcdevops/docker-centos6-rocksbuilder:latest,9805,2479984077
lasobrinho/hpcc-centos:v3,6295,2517154219
lasobrinho/hpcc-centos:v2,6214,2348227299
lasobrinho/hpcc-centos:v1,6182,2141460639
ericvh/arm64-ubuntu-hpc-sve:10162017,5766,3208618074
ericvh/arm64-ubuntu-hpc-sve:10182017,5766,3207095070
ericvh/arm64-ubuntu-hpc-sve:latest,5766,3207095070
hpccsystems/platform-build-centos-7:candidate-9.2.x,5557,5217683765
hpccbuilds/build-centos-7:community_8.12.0-rc4,5054,5090193310
hpccbuilds/build-centos-7:community_8.12.0-test-rc125,5054,4981689850
hpccbuilds/build-centos-7:community_8.12.0-test-rc126,5054,4981689850
hpccbuilds/build-centos-7:community_8.12.0-test-rc127,5054,4981689850
hpccbuilds/build-centos-7:latest,5054,5090193310
memeoru/hpcc-build-base:centos7,5010,2358177091
arc46/arm64-ubuntu-hpc-sve:bionic,4961,4131921063
arc46/arm64-ubuntu-hpc-sve:latest,4961,4131921063
arc46/arm64-ubuntu-hpc:latest,4953,1705004501
hpccsystems/platform-build-base-centos-7:2581536d,4920,5354517291
hpccsystems/platform-build-base-centos-7:e0042a2e,4920,9698277125
hpccsystems/platform-build-base-centos-7:hpcc-platform-8.12.x,4920,5354517291
hpccsystems/platform-build-base-centos-7:hpcc-platform-9.4.x,4920,9698277125
hpccsystems/platform-build-centos-7:candidate-8.12.x,4920,5674688858
hpccsystems/platform-build-centos-7:candidate-9.0.x,4920,5672919427
hpccsystems/platform-build-centos-7:candidate-9.4.x,4920,9698275696
minimalmetrics/mmperftools:ubuntu,4373,589993026
csrhau/hpcbox-centos:latest,4364,4132423014
hpccsystems/platform-build-centos-7:2b9c1b16,4309,7482347962
hpclib/ceps_centos:latest,4195,4352012592
soycoder/centos7:nemo-infiniband,4103,7564093954
soycoder/centos7:nemo-ocean-infiniband,4085,7574415035
soycoder/centos7:latest,4028,8629685911
soycoder/centos7:compress-src,4011,13799487503
soycoder/centos7:hpc-gcc4.8-infiniband,3636,813344892
minimalmetrics/mmperftools:centos,3612,428473614
memeoru/hpcc-build-base:centos8,3452,3272186631
hpccbuilds/vcpkg-centos-7:348818ae,3422,4204429405
hpccbuilds/vcpkg-centos-7:8.12-rc2,3422,4204429405
hpccbuilds/vcpkg-centos-7:dfadc914,3422,1932500818
hpccbuilds/vcpkg-centos-7:fe903b58,3422,4204430201
hpccbuilds/vcpkg-centos-7:latest,3422,4204429405
nbutter/yade-dev:ubuntu16.04,3411,1437926558
mccoygroup/rynlib:rynimg-centos,3368,6512449590
hpccsystems/platform-build-base-centos-7:hpcc-platform-9.2.x,3364,3940038127
ericvh/arm64-ubuntu-hpc-armtools:10182017,3253,6657036387
ericvh/arm64-ubuntu-hpc-armtools:10192017,3253,6655515129
ericvh/arm64-ubuntu-hpc-armtools:latest,3253,6655515129
aa3025/ubuntu-docker-mpi-hpc:latest,3176,558635031
ericvh/arm64-ubuntu-hpc:10162017,3153,1540277008
ericvh/arm64-ubuntu-hpc:10182017,3153,1538751357
hpclib/gitlab-ubuntu:latest,3127,7308955412
hpchud/vcc-base-centos:latest,2915,519463273
hpccsystems/platform-build-vcpkg-centos-7:19a480bb,2816,7646845825
hpccsystems/platform-build-vcpkg-centos-7:hpcc-platform-9.4.x,2816,7646845825
roscoche/hpcc_platform:centos,2752,1029108396
ericvh/arm64-ubuntu-hpc:bionic,2719,1192270427
ericvh/arm64-ubuntu-hpc:latest,2719,1192270427
myejeo01/arm64-ubuntu-bench:latest,2515,11223487896
hpcoder/my_centos7_go:latest,2489,886541994
tataucloud/hpc:centos,2433,10440418519
maksangar/basic_ubuntu:latest,2416,787496424
hpc2019/ubuntu:twitter,2332,1106579450
guzhun/hpc_ubuntu:v1.3,2331,14954950917
guzhun/hpc_ubuntu:v1.2,2318,4885579673
guzhun/hpc_ubuntu:latest,2315,1726427555
guzhun/hpc_ubuntu:v1.1,2315,4357375785
fizban007/hpc_ubuntu:latest,2299,15291056760
josephparker/oneapi-hpckit-ubuntu-18.04:0.1.2,2261,22831196577
parkeraddison/ior:centos7,2149,647737014
acyang/hpc-centos:openmpi-latest,2112,482737104
acyang/hpc-centos:mvapich-latest,2086,487108656
acyang/hpc-centos:mpich-latest,2084,437386617
scothalverson/base-centos-torque:latest,2037,1020743078
