image_name,count,img_size
taccsciapps/ipt-web:1.1,14225,1132609088
taccsciapps/winnow:latest,11466,2876442096
taccsciapps/winnow:stable,11466,2876442096
taccsciapps/ipt-webterm:latest,9901,2087313082
taccsciapps/ipt-webterm:dev,9860,2178901119
taccsciapps/ipt-webterm:0.1,9721,2178901119
taccaci/ubuntu-vnc-paraview-express:latest,7942,3523412564
taccaci/designsafe-qgis-duvd:3.14.16,7806,2357831180
taccaci/designsafe-matlab-duvd-19a:latest,7565,1434341926
tacctest/foo:latest,7488,682165118
tacc/openstack-cli:liberty,7394,757788801
tacc/openstack-cli:latest,7234,761930154
tacc/gigafetch:latest,6997,430517995
taccsciapps/bioperl:latest,6903,1458589091
tacc/generic_signup_app_web:latest,6519,992583791
tacc/sgci_signup_app_web:latest,6518,999086103
tacc/sleep-counter:latest,6503,936587238
taccaci/sharelatex:latest,6411,3698910166
tacchan7412/xvfb-node:latest,6318,1203314037
taccwma/enyw-portal:2dfc143,6265,1143345949
taccwma/enyw-portal:3da2a11,6265,1143345947
taccwma/enyw-portal:3f4966f,6265,1143345950
taccwma/enyw-portal:5f6bc16,6265,1143346037
taccwma/enyw-portal:2f17a1d,6265,1143345855
taccsciapps/jhub-metrics-api:1.0.1,6188,963042804
taccsciapps/jhub-metrics-api:1.0.2,6188,963045249
taccsciapps/jhub-metrics-api:1.0.0,6188,963039753
taccsciapps/jhub-metrics-api:latest,6188,963039580
taccaci/docker-ubuntu-vnc-desktop-application-base:0.2,6143,1253539487
taccaci/docker-ubuntu-vnc-desktop-application-base:0.3,6137,1097856644
taccaci/docker-ubuntu-vnc-desktop-application-base:0.4,6137,1097868842
tacc/keys-api:1.0.3,6096,992473209
tacc/cii-api:dev,6085,1006989981
tacc/cii-api:prod,6085,1007040383
tacc/iipsrv-openjpeg-docker:latest,5886,668570810
taccwma/cyber-range-cms:a1d734e,5820,1376955983
taccwma/cyber-range-cms:aac6405,5820,1376956174
taccwma/cyber-range-cms:0d680d3,5774,1376955989
taccaci/docker-ubuntu-vnc-desktop-application-base:0.1,5771,1195247159
taccsciapps/hub-actor:latest,5702,754233969
taccaci/paraview-express-dcv:latest,5582,3938159844
taccaci/paraview-express-dcv:0.0.1,5582,3938451167
tacc/keys-api:1.0.2,5449,975145955
tacc/keys-api:1.0.1,5449,975115780
taccaci/serfnode:latest,5274,495180241
tacc/keys-nginx:0.1.2,5207,766988605
tacc/keys-api:1.0.0,5207,766996608
taccaci/uploadr:latest,5035,981047600
taccsciapps/jupyteruser-pub:latest,4966,4535793600
taccwma/3dem-org:05d6c3d,4934,1476681658
taccwma/3dem-org:latest,4934,1476681658
traceabilitychain/tacchain-tools:x86_64-1.3.4-test2,4915,1445734587
traceabilitychain/tacchain-tools:x86_64-1.3.4-xc,4915,1445948771
traceabilitychain/tacchain-tools:x86_64-1.4.1,4915,1446005820
traceabilitychain/tacchain-tools:x86_64-1.4.2,4915,1446005945
traceabilitychain/tacchain-tools:x86_64-1.3.4-test,4910,1445707121
tacc/apim-admin:1.0.0,4714,532105994
tacc/apim-admin:latest,4714,532105994
tacc/apim-admin:dev,4714,532105994
tacc/apim-admin-utils:dev,4708,514887272
tacc/apim-admin-utils:latest,4708,514887272
gcurbelo/tacc-test:dev,4694,1900347074
taccsciapps/praxis-jupyterhub:1.0.0,4694,1910744245
taccsciapps/jupyterhub-auth-v3:dev,4683,1855358631
taccsciapps/jupyterhub:2.0.2,4683,1900323814
taccsciapps/jupyterhub:2.0.4,4683,1900347135
taccsciapps/jupyterhub:2.0.5,4683,1900369355
taccsciapps/jupyterhub:2.0.3,4682,1900344218
traceabilitychain/tacchain-javaenv:x86_64-1.1,4681,1424938021
traceabilitychain/tacchain-javaenv:x86_64-1.2,4681,1425032037
traceabilitychain/tacchain-javaenv:x86_64-1.3,4681,1425030958
traceabilitychain/tacchain-javaenv:x86_64-1.3.1,4681,1425030970
traceabilitychain/tacchain-javaenv:x86_64-1.3.3,4681,1425030955
traceabilitychain/tacchain-couchdb:x86_64-1.0,4678,1514094284
traceabilitychain/tacchain-couchdb:x86_64-1.1,4678,1514094284
taccsciapps/jupyterhub-ds:0.0.5,4671,1855330731
